user_id,bonus_id,transaction_id,bonus_code,bonus_criteria,bonusCode,relatedTo,activity,tandcParagraph,target_amount,contribution,pending,expired_amount,bonus_amount,converted_to_cash,redeemed_amount,unlocked_datetime,expiry_datetime,bonus_status,transaction_type,bonus_game_type,transaction_status,bonus_type,wallet_type,bonus_created_datetime,bonus_updated_datetime,bonus_redeemed_datetime
10000000423,994513,169,CODE10,Registration,CODE30,Deposit,Referral Bonus,7,698,,,,705,,,,6/4/2025,Locked,Bonus Transferred to Cash,RV Bonus,Completed,Regular Bonus,Cash,3/29/2024,5/11/2024,12/7/2024
10000000284,201125,1303,CODE20,Referral,CODE30,Deposit,Mini Registration,2,1930,,,,575,,,,6/10/2025,Unlocked,Bonus Transferred to Cash,Slot Bonus,Pending,Special Bonus,Bonus,6/4/2024,7/9/2024,11/8/2024
10000000789,229139,269,CODE20,Deposit,CODE20,Registration,Referral Bonus,3,2809,,,,138,,,,11/1/2025,Locked,Bonus Transferred to Cash,Table Bonus,Completed,Special Bonus,Cash,1/22/2024,5/25/2024,4/11/2024
10000000611,675751,10,CODE10,Registration,CODE10,Registration,Referral Bonus,3,694,,,,670,,,,10/26/2025,Unlocked,Bonus Transferred to Cash,Table Bonus,Pending,Regular Bonus,Cash,3/23/2024,3/27/2024,3/4/2024
10000000149,710245,4112,CODE10,Referral,CODE20,Registration,Referral Bonus,4,4678,,,,491,,,,3/15/2025,Unlocked,Bonus Used,Slot Bonus,Pending,Special Bonus,Bonus,6/20/2024,3/25/2024,1/11/2024
10000000629,181251,4034,CODE20,Registration,CODE50,Registration,Referral Bonus,5,164,,,,114,,,,1/13/2025,Locked,Bonus Transferred to Cash,Slot Bonus,Completed,Special Bonus,Bonus,12/2/2024,10/5/2024,1/26/2024
10000000282,239894,1437,CODE30,Referral,CODE10,Deposit,Referral Bonus,8,2298,,,,509,,,,5/6/2025,Unlocked,Bonus Transferred to Cash,Table Bonus,Pending,Special Bonus,Cash,2/4/2024,9/16/2024,1/5/2024
10000000670,906833,2229,CODE50,Registration,CODE50,Referral,First Deposit,7,1620,,,,827,,,,9/12/2025,Unlocked,Bonus Transferred to Cash,Slot Bonus,Completed,Regular Bonus,Cash,12/10/2024,9/6/2024,6/26/2024
10000000568,702053,1206,CODE30,Referral,CODE30,Referral,First Deposit,9,1795,,,,351,,,,9/21/2025,Expired,Bonus Transferred to Cash,Slot Bonus,Paused,Special Bonus,Bonus,8/28/2024,6/25/2024,11/21/2024
10000000922,636448,2592,CODE50,Referral,CODE50,Referral,Referral Bonus,7,4140,,,,576,,,,12/14/2025,Unlocked,Bonus Used,RV Bonus,Pending,Special Bonus,Bonus,2/21/2024,4/27/2024,1/18/2024
10000000522,492463,2371,CODE10,Referral,CODE30,Registration,Mini Registration,5,3920,,,,806,,,,1/17/2025,Locked,Bonus Expired,Slot Bonus,Completed,Regular Bonus,Bonus,11/21/2024,7/6/2024,2/15/2024
10000000836,706175,3328,CODE50,Deposit,CODE10,Deposit,Referral Bonus,7,4781,,,,774,,,,9/29/2025,Expired,Bonus Transferred to Cash,RV Bonus,Pending,Special Bonus,Cash,11/12/2024,12/28/2024,3/5/2024
10000000263,532270,4067,CODE30,Registration,CODE30,Referral,First Deposit,1,1265,,,,206,,,,5/22/2025,Expired,Bonus Expired,Slot Bonus,Paused,Special Bonus,Cash,1/15/2024,11/2/2024,6/29/2024
10000000765,800606,2461,CODE10,Registration,CODE50,Registration,First Deposit,7,2596,,,,230,,,,3/19/2025,Locked,Bonus Used,Table Bonus,Paused,Regular Bonus,Cash,7/5/2024,12/2/2024,9/4/2024
10000000578,200669,3977,CODE50,Referral,CODE50,Deposit,Mini Registration,7,1944,,,,275,,,,11/8/2025,Locked,Bonus Used,Table Bonus,Pending,Special Bonus,Bonus,5/21/2024,7/20/2024,10/4/2024
10000000292,468013,269,CODE30,Registration,CODE30,Registration,Referral Bonus,7,1884,,,,816,,,,5/22/2025,Expired,Bonus Expired,Slot Bonus,Paused,Regular Bonus,Cash,12/13/2024,5/8/2024,12/23/2024
10000000561,731427,2494,CODE30,Registration,CODE50,Referral,Mini Registration,3,1250,,,,638,,,,1/24/2025,Locked,Bonus Used,Table Bonus,Pending,Special Bonus,Bonus,7/14/2024,6/30/2024,12/11/2024
10000000410,184626,1206,CODE30,Deposit,CODE20,Deposit,Referral Bonus,5,1438,,,,197,,,,5/1/2025,Expired,Bonus Expired,Slot Bonus,Completed,Regular Bonus,Bonus,1/15/2024,1/19/2024,9/18/2024
10000000099,114880,172,CODE20,Deposit,CODE10,Deposit,Mini Registration,2,4151,,,,724,,,,9/25/2025,Expired,Bonus Expired,Table Bonus,Completed,Regular Bonus,Bonus,11/13/2024,1/23/2024,11/27/2024
10000000605,968866,2069,CODE20,Deposit,CODE50,Registration,First Deposit,3,1607,,,,844,,,,9/3/2025,Unlocked,Bonus Transferred to Cash,Table Bonus,Completed,Special Bonus,Bonus,2/17/2024,8/5/2024,2/6/2024
10000000602,166336,1937,CODE30,Referral,CODE50,Referral,Mini Registration,4,2870,,,,472,,,,10/7/2025,Locked,Bonus Transferred to Cash,Slot Bonus,Pending,Special Bonus,Bonus,12/11/2024,7/16/2024,12/5/2024
10000000377,378737,137,CODE30,Referral,CODE50,Deposit,Mini Registration,3,575,,,,796,,,,8/12/2025,Expired,Bonus Used,RV Bonus,Completed,Special Bonus,Cash,2/26/2024,12/15/2024,5/31/2024
10000000605,592656,4559,CODE30,Referral,CODE50,Deposit,First Deposit,9,3096,,,,162,,,,5/23/2025,Locked,Bonus Expired,Slot Bonus,Paused,Regular Bonus,Cash,12/27/2024,9/28/2024,10/23/2024
10000000787,484967,3683,CODE10,Registration,CODE10,Registration,Mini Registration,2,3375,,,,549,,,,1/26/2025,Unlocked,Bonus Transferred to Cash,RV Bonus,Pending,Regular Bonus,Cash,3/1/2024,4/20/2024,8/13/2024
10000000676,344522,4060,CODE30,Registration,CODE10,Registration,First Deposit,8,3612,,,,425,,,,12/27/2025,Locked,Bonus Used,RV Bonus,Pending,Regular Bonus,Cash,4/2/2024,7/24/2024,12/25/2024
10000000436,191542,1696,CODE20,Deposit,CODE10,Deposit,First Deposit,2,2155,,,,812,,,,9/27/2025,Expired,Bonus Used,Slot Bonus,Completed,Regular Bonus,Bonus,5/27/2024,5/19/2024,11/19/2024
10000000255,194860,4696,CODE30,Referral,CODE50,Registration,First Deposit,5,2246,,,,812,,,,8/25/2025,Expired,Bonus Expired,Slot Bonus,Completed,Regular Bonus,Cash,11/2/2024,6/4/2024,6/2/2024
10000000633,224639,1854,CODE20,Deposit,CODE10,Registration,Referral Bonus,6,3139,,,,599,,,,5/14/2025,Locked,Bonus Expired,RV Bonus,Completed,Regular Bonus,Bonus,6/20/2024,5/2/2024,10/28/2024
10000000736,816860,4838,CODE30,Registration,CODE30,Referral,Referral Bonus,1,3338,,,,332,,,,5/5/2025,Expired,Bonus Expired,Slot Bonus,Paused,Regular Bonus,Bonus,8/22/2024,1/15/2024,5/18/2024
10000000642,840086,4403,CODE10,Deposit,CODE30,Deposit,Mini Registration,7,908,,,,909,,,,9/3/2025,Locked,Bonus Transferred to Cash,RV Bonus,Paused,Special Bonus,Bonus,10/19/2024,6/23/2024,6/9/2024
10000000189,504337,2056,CODE30,Registration,CODE10,Registration,First Deposit,7,4247,,,,194,,,,1/4/2025,Unlocked,Bonus Used,RV Bonus,Pending,Regular Bonus,Cash,6/16/2024,4/13/2024,9/22/2024
10000000495,545453,1393,CODE50,Referral,CODE50,Registration,Referral Bonus,2,1002,,,,783,,,,8/28/2025,Unlocked,Bonus Transferred to Cash,Slot Bonus,Pending,Special Bonus,Bonus,1/12/2024,10/7/2024,7/1/2024
10000000263,303869,3256,CODE50,Deposit,CODE10,Deposit,Mini Registration,1,1738,,,,590,,,,4/5/2025,Locked,Bonus Expired,Slot Bonus,Pending,Special Bonus,Bonus,8/31/2024,4/3/2024,2/29/2024
10000000738,686333,3491,CODE10,Registration,CODE30,Registration,First Deposit,2,4466,,,,969,,,,5/2/2025,Unlocked,Bonus Used,Slot Bonus,Completed,Regular Bonus,Cash,3/13/2024,9/6/2024,5/20/2024
10000000995,934908,1125,CODE10,Referral,CODE30,Deposit,Mini Registration,1,3815,,,,947,,,,2/15/2025,Expired,Bonus Used,RV Bonus,Paused,Regular Bonus,Cash,5/22/2024,11/22/2024,4/25/2024
10000000145,916830,230,CODE50,Deposit,CODE50,Referral,First Deposit,6,4007,,,,784,,,,5/15/2025,Expired,Bonus Used,Slot Bonus,Completed,Special Bonus,Cash,6/30/2024,4/3/2024,9/6/2024
10000000175,633438,2181,CODE30,Deposit,CODE10,Registration,First Deposit,4,422,,,,103,,,,12/14/2025,Locked,Bonus Transferred to Cash,RV Bonus,Completed,Special Bonus,Bonus,6/23/2024,12/22/2024,6/23/2024
10000000207,374644,1151,CODE30,Referral,CODE20,Deposit,Referral Bonus,1,4216,,,,957,,,,1/2/2025,Locked,Bonus Used,Table Bonus,Pending,Special Bonus,Bonus,12/11/2024,7/6/2024,5/11/2024
10000000089,979632,1198,CODE20,Deposit,CODE20,Registration,First Deposit,1,2377,,,,494,,,,12/19/2025,Unlocked,Bonus Expired,RV Bonus,Paused,Special Bonus,Bonus,8/18/2024,10/19/2024,6/23/2024
10000000190,872099,184,CODE20,Registration,CODE10,Deposit,Mini Registration,1,2332,,,,276,,,,1/10/2025,Expired,Bonus Transferred to Cash,Table Bonus,Paused,Special Bonus,Bonus,2/22/2024,2/29/2024,10/17/2024
10000000182,651727,216,CODE30,Referral,CODE50,Registration,Referral Bonus,8,299,,,,998,,,,12/6/2025,Unlocked,Bonus Used,Slot Bonus,Pending,Special Bonus,Cash,5/3/2024,11/19/2024,1/7/2024
10000000699,762580,2008,CODE50,Deposit,CODE10,Registration,Mini Registration,4,214,,,,630,,,,7/20/2025,Expired,Bonus Transferred to Cash,Slot Bonus,Paused,Regular Bonus,Cash,4/22/2024,8/1/2024,9/23/2024
10000000660,798714,944,CODE30,Registration,CODE30,Deposit,Mini Registration,6,3555,,,,245,,,,6/28/2025,Locked,Bonus Transferred to Cash,Slot Bonus,Paused,Regular Bonus,Cash,6/28/2024,10/10/2024,8/5/2024
10000000895,119533,854,CODE20,Referral,CODE50,Referral,First Deposit,2,172,,,,817,,,,1/19/2025,Unlocked,Bonus Used,Table Bonus,Pending,Regular Bonus,Cash,6/13/2024,7/26/2024,5/26/2024
10000000587,791275,3323,CODE20,Deposit,CODE20,Registration,First Deposit,4,4633,,,,253,,,,7/2/2025,Unlocked,Bonus Expired,Table Bonus,Completed,Regular Bonus,Bonus,10/11/2024,11/21/2024,10/28/2024
10000000355,720264,1841,CODE30,Referral,CODE10,Deposit,Referral Bonus,9,120,,,,285,,,,11/28/2025,Unlocked,Bonus Transferred to Cash,Table Bonus,Paused,Regular Bonus,Bonus,10/6/2024,4/15/2024,8/4/2024
10000000493,625839,4319,CODE30,Deposit,CODE20,Deposit,Mini Registration,3,2558,,,,517,,,,4/10/2025,Unlocked,Bonus Used,Slot Bonus,Pending,Regular Bonus,Bonus,5/7/2024,2/6/2024,11/22/2024
10000000839,585688,3775,CODE20,Registration,CODE50,Deposit,Referral Bonus,5,2980,,,,579,,,,7/5/2025,Expired,Bonus Expired,RV Bonus,Completed,Special Bonus,Bonus,5/15/2024,7/25/2024,11/12/2024
10000000227,637701,1975,CODE20,Registration,CODE10,Referral,Referral Bonus,8,1135,,,,679,,,,6/16/2025,Unlocked,Bonus Used,Slot Bonus,Completed,Regular Bonus,Cash,3/7/2024,3/22/2024,11/1/2024
10000000588,135302,94,CODE20,Referral,CODE20,Deposit,Mini Registration,3,3043,,,,120,,,,6/19/2025,Expired,Bonus Used,Slot Bonus,Pending,Regular Bonus,Cash,12/12/2024,6/14/2024,9/28/2024
10000000169,371338,2424,CODE20,Referral,CODE30,Deposit,First Deposit,4,3982,,,,609,,,,8/17/2025,Expired,Bonus Transferred to Cash,Slot Bonus,Completed,Regular Bonus,Bonus,5/20/2024,10/18/2024,3/31/2024
10000000024,469104,3423,CODE20,Registration,CODE20,Deposit,Mini Registration,4,3874,,,,434,,,,5/9/2025,Locked,Bonus Transferred to Cash,Table Bonus,Paused,Special Bonus,Bonus,12/27/2024,6/19/2024,5/19/2024
