txn_datetime,txn_month,txn_year,user_id,win_amount,win_count,deposit_amount,deposit_count,total_unique_players,table_count,game_played_count,wager_amount,wager_rejoin_amount,partner_wager_amount,partner_rake_amount,partner_won_amount,other_cost,rake_amount,rejoin_rake_amount,cash_as_bonus,bonus_as_bonus,rc_cash_as_bonus,rc_bonus_as_bonus,withdrawal_amount,withdrawal_count,cg_wager_amount,cg_wager_count,cg_wager_refund,cg_wager_refund_count,cg_winning_amount,cg_won_count,cg_bonus_amount,cg_bonus_count,Platform_fee,Platform_fee_count,first_time_depositdate,DEPOSIT_TYPE,mg_wager_amount,mg_wager_count,mg_wager_refund,mg_wager_refund_count,mg_winning_amount,mg_won_count,mg_platform_fee,Withdrawal_Balance,ante_wgr_amount,ante_wgr_count,call_wgr_amount,call_wgr_count,ante_wgr_refund_amount,ante_wgr_refund_count,call_wgr_refund_amount,call_wgr_refund_count,ante_win_amount,ante_won_count,call_win_amount,call_won_count,casino_holdem_platform_fee,casino_holdem_platform_count,one_day_teen_patti_wgr_amount,one_day_teen_patti_wgr_count,one_day_teen_patti_wgr_refund_amount,one_day_teen_patti_wgr_refund_count,one_day_teen_patti_won_amount,one_day_teen_patti_won_count,one_day_teen_patti_platform_fee,one_day_teen_patti_platform_count,session_count,session_time_in_minutes
9/5/2024,4,2024,1E+11,197,8,3710,11,1,10,3381,3751,4648,807,3156,2000,3507,3604,3407,2491,488,2188,3866,1909,2414,4607,4319,2906,3379,2003,627,301,3546,4555,2158,3158,421,4851,2739,1766,2270,2529,3355,1424,2956,1946,3372,2205,2027,4726,1149,1839,1570,201,4364,211,4349,4719,1920,706,2118,1448,996,4819,3734,4337,2324,17,61
12/20/2024,8,2024,1E+11,114,37,2006,12,1,2,3907,2129,10,2276,1309,4474,2517,662,920,3532,3322,3666,347,3544,1996,4345,3860,4805,2630,2153,3048,3999,2498,769,2467,941,1368,4831,626,1870,4198,3482,304,1264,230,2479,2568,3852,575,2323,1286,1823,3974,3195,1543,4007,855,3862,302,4711,2856,643,2954,4379,568,1886,690,3,70
9/30/2024,12,2024,1E+11,356,15,1432,14,2,4,2972,4233,1116,1790,1221,4369,64,1182,2106,3715,4197,463,4312,2923,3792,2521,77,443,3726,1439,1388,3034,4647,4249,2362,4839,2035,1108,2917,3795,772,2522,1873,3099,3543,2155,4427,3981,1224,777,4621,225,3522,4159,3764,897,4474,2628,4933,3155,2690,4131,636,1851,3050,2336,713,6,91
12/29/2024,5,2024,1E+11,167,17,3257,10,4,13,4929,2910,4365,4984,3334,3142,3999,2779,3274,1246,2184,1797,4391,962,3526,872,262,143,4992,3266,4848,3890,3694,119,1834,4613,2604,1789,1702,1069,567,4664,1002,785,1518,2802,1476,4282,56,1665,2124,2344,292,1642,2373,3114,2623,1854,4777,4347,2143,2921,8,4714,773,4574,474,6,105
7/5/2024,7,2024,1E+11,653,1,272,2,3,14,2557,4728,151,2940,3559,1889,2334,3500,2742,1638,3376,348,2517,2114,2867,1650,3337,1425,623,2350,2261,1628,1125,3263,3773,2115,1880,800,3381,1910,4558,2384,2017,4144,2103,2465,3849,1859,3937,3505,1490,923,3237,2233,2773,4399,3774,225,1503,2516,597,184,1136,4599,3526,4879,4771,12,12
11/26/2024,11,2024,1E+11,155,1,1900,5,3,6,3356,2390,1480,4434,1300,1956,2984,1617,4326,2104,1442,4164,1987,353,3231,1299,1890,3443,954,2244,196,3529,209,2571,2095,210,1778,3123,1948,242,1040,2,1999,679,332,1733,2336,4761,3219,2823,4832,2459,1613,2367,1404,2824,3336,4907,4886,196,3643,3384,850,1605,2554,2339,3548,2,100
3/12/2024,7,2024,1E+11,67,25,2394,3,3,3,4028,2657,4637,4318,683,3913,1388,4641,4346,2855,2198,1182,3177,3563,1806,1104,4761,4606,2636,4576,3057,1328,4732,1923,1419,1216,2702,4946,4579,3992,297,2362,4090,2902,2458,813,4468,3831,2706,3248,4825,1212,610,1277,990,873,4450,3724,2120,881,3471,2710,1094,4541,371,529,3320,11,153
8/12/2024,4,2024,1E+11,828,0,3856,12,1,9,1505,2720,1809,4979,1725,3569,590,639,2029,2382,2842,4569,4374,6,2705,2613,351,3363,4728,2966,3280,396,1205,1027,4094,351,3777,2011,2570,1018,2355,3926,756,2760,809,4229,2268,555,1955,3569,1816,2165,780,3282,1748,2538,3735,1789,1794,1994,4980,3017,90,853,3648,710,630,5,119
6/7/2024,7,2024,1E+11,561,39,4255,7,3,8,2618,936,1835,3616,3196,828,488,1047,2986,3145,2915,561,2917,1438,1169,1209,503,2253,1792,4126,3044,4687,1350,2740,503,4806,4339,2463,820,1053,314,846,2929,1533,1834,178,4948,1891,288,1761,1103,2371,2790,3440,3602,1077,1180,1104,3552,1034,1005,702,2317,1722,4574,841,3531,14,67
3/10/2024,1,2024,1E+11,386,47,1070,5,2,6,3494,3297,4572,2774,1895,3834,363,3574,1568,2772,3033,1314,4837,2096,2945,1548,1905,4326,2226,3764,4651,3972,1529,3222,4783,1003,3938,290,4409,2749,2007,4756,4274,3655,4273,1854,3769,2150,3678,2994,2315,2525,2049,973,673,4413,4649,1434,2672,30,2836,585,517,3694,2511,2718,3405,17,193
